<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.03.01	16:00:00	132.860	134.013	132.735	133.584	15281	0	50
2010.03.01	20:00:00	133.582	133.760	133.338	133.686	7089	0	80
2010.03.02	00:00:00	133.683	133.707	133.178	133.351	8442	0	80
2010.03.02	04:00:00	133.352	133.449	132.737	132.794	9364	0	50
2010.03.02	08:00:00	132.792	133.276	132.546	133.095	17215	0	50
2010.03.02	12:00:00	133.102	133.740	132.957	133.156	17094	0	50
2010.03.02	16:00:00	133.162	133.343	132.498	132.665	15149	0	50
2010.03.02	20:00:00	132.667	132.995	132.460	132.769	7808	0	80
2010.03.03	00:00:00	132.786	133.618	132.748	133.536	11663	0	80
2010.03.03	04:00:00	133.535	133.649	133.263	133.370	9337	0	50
2010.03.03	08:00:00	133.360	133.701	132.868	133.472	16444	0	50
2010.03.03	12:00:00	133.475	133.736	133.309	133.680	16164	0	50
2010.03.03	16:00:00	133.676	133.999	133.296	133.723	15083	0	50
2010.03.03	20:00:00	133.721	133.826	133.333	133.616	7081	0	80
2010.03.04	00:00:00	133.622	133.766	133.366	133.421	8632	0	80
2010.03.04	04:00:00	133.422	133.465	132.554	132.663	9390	0	50
2010.03.04	08:00:00	132.662	133.546	132.622	133.309	15021	0	50
2010.03.04	12:00:00	133.316	134.811	133.102	134.643	15720	0	50
2010.03.04	16:00:00	134.631	134.631	133.592	134.002	15331	0	50
2010.03.04	20:00:00	134.003	134.017	133.737	133.883	6274	0	80
2010.03.05	00:00:00	133.877	134.355	133.864	134.273	8275	0	80
2010.03.05	04:00:00	134.271	134.398	134.139	134.197	6667	0	50
2010.03.05	08:00:00	134.196	134.358	134.068	134.209	12529	0	50
2010.03.05	12:00:00	134.208	135.704	134.207	135.702	14255	0	50
2010.03.05	16:00:00	135.704	137.034	135.600	136.929	14148	0	50
2010.03.05	20:00:00	136.914	137.008	136.526	136.628	5813	0	80
2010.03.08	00:00:00	137.183	137.362	136.793	137.107	8904	0	26
2010.03.08	04:00:00	137.104	137.262	136.743	137.063	8686	0	50
2010.03.08	08:00:00	137.064	137.339	136.490	136.733	13965	0	50
2010.03.08	12:00:00	136.731	137.054	136.554	136.703	13612	0	50
2010.03.08	16:00:00	136.704	136.778	135.658	136.095	12526	0	50
2010.03.08	20:00:00	136.096	136.171	135.757	135.896	5692	0	80
2010.03.09	00:00:00	135.889	135.890	134.790	134.906	10219	0	80
2010.03.09	04:00:00	134.901	135.289	134.648	134.756	8719	0	50
2010.03.09	08:00:00	134.718	135.359	133.905	134.167	15387	0	50
2010.03.09	12:00:00	134.165	134.713	133.965	134.640	14108	0	50
2010.03.09	16:00:00	134.642	135.045	134.271	134.943	13089	0	50
2010.03.09	20:00:00	134.940	135.007	134.694	134.831	6808	0	80
2010.03.10	00:00:00	134.820	135.181	134.561	134.599	8084	0	80
2010.03.10	04:00:00	134.598	134.934	134.587	134.705	6677	0	50
2010.03.10	08:00:00	134.704	135.172	133.899	134.622	14541	0	50
2010.03.10	12:00:00	134.621	135.690	134.503	135.307	14621	0	50
2010.03.10	16:00:00	135.303	135.880	134.990	135.358	13280	0	50
2010.03.10	20:00:00	135.354	135.637	135.307	135.593	6670	0	80
2010.03.11	00:00:00	135.593	135.594	134.970	135.023	9025	0	80
2010.03.11	04:00:00	135.024	135.457	134.890	135.251	7059	0	50
2010.03.11	08:00:00	135.250	136.170	135.010	136.170	12656	0	50
2010.03.11	12:00:00	136.164	136.469	135.495	135.525	13877	0	50
2010.03.11	16:00:00	135.527	136.351	135.526	136.202	13282	0	50
2010.03.11	20:00:00	136.198	136.503	136.177	136.488	7094	0	80
2010.03.12	00:00:00	136.485	136.792	136.069	136.327	9620	0	80
2010.03.12	04:00:00	136.328	136.625	136.320	136.534	7921	0	56
2010.03.12	08:00:00	136.531	137.016	136.127	136.885	15514	0	56
2010.03.12	12:00:00	136.884	137.837	136.814	137.750	15118	0	50
2010.03.12	16:00:00	137.757	138.052	137.089	137.506	15684	0	56
2010.03.12	20:00:00	137.509	137.689	137.220	137.648	5658	0	80
2010.03.15	00:00:00	137.477	137.840	137.395	137.457	11429	0	56
2010.03.15	04:00:00	137.453	137.763	137.216	137.763	9044	0	56
2010.03.15	08:00:00	137.765	137.923	136.259	136.286	16995	0	56
2010.03.15	12:00:00	136.284	136.856	136.206	136.642	17213	0	50
2010.03.15	16:00:00	136.645	136.645	135.791	136.091	14537	0	56
2010.03.15	20:00:00	136.090	136.294	136.011	136.017	6558	0	80
2010.03.16	00:00:00	136.021	136.117	135.683	135.854	11467	0	80
2010.03.16	04:00:00	135.852	135.854	135.435	135.662	9648	0	57
