<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.02.09	16:00:00	1071.64	1082.99	1070.68	1076.62	21433	0	0
2010.02.09	20:00:00	1076.60	1078.99	1075.53	1077.91	8265	0	0
2010.02.10	00:00:00	1077.50	1078.23	1075.24	1076.94	7831	0	0
2010.02.10	04:00:00	1076.95	1078.36	1074.00	1078.36	10930	0	0
2010.02.10	08:00:00	1078.39	1080.67	1073.51	1078.55	15231	0	0
2010.02.10	12:00:00	1078.55	1082.05	1070.59	1072.56	18184	0	0
2010.02.10	16:00:00	1072.50	1076.28	1063.28	1072.33	20250	0	0
2010.02.10	20:00:00	1072.30	1074.69	1069.75	1071.77	7824	0	0
2010.02.11	00:00:00	1073.95	1079.44	1072.39	1078.89	8829	0	0
2010.02.11	04:00:00	1078.91	1080.49	1076.83	1079.53	11022	0	0
2010.02.11	08:00:00	1079.53	1081.56	1077.58	1078.99	14285	0	0
2010.02.11	12:00:00	1078.94	1086.44	1074.68	1077.99	19831	0	0
2010.02.11	16:00:00	1077.95	1094.77	1075.38	1093.10	20353	0	0
2010.02.11	20:00:00	1093.09	1097.64	1092.42	1095.08	8053	0	0
2010.02.12	00:00:00	1092.97	1092.97	1087.96	1089.19	8738	0	0
2010.02.12	04:00:00	1089.18	1091.55	1088.81	1091.54	8528	0	0
2010.02.12	08:00:00	1091.25	1091.70	1077.79	1081.68	14847	0	0
2010.02.12	12:00:00	1081.74	1088.69	1077.81	1084.47	19121	0	0
2010.02.12	16:00:00	1084.45	1092.23	1081.62	1088.18	21054	0	0
2010.02.12	20:00:00	1088.19	1093.21	1087.97	1093.05	7635	0	0
2010.02.15	00:00:00	1096.54	1097.11	1092.13	1093.73	7067	0	0
2010.02.15	04:00:00	1093.74	1095.31	1091.45	1092.31	8141	0	0
2010.02.15	08:00:00	1092.33	1101.83	1091.63	1099.67	13455	0	0
2010.02.15	12:00:00	1099.69	1102.13	1098.20	1099.22	13637	0	0
2010.02.15	16:00:00	1099.21	1101.14	1097.88	1100.67	9199	0	0
2010.02.15	20:00:00	1100.74	1100.74	1100.30	1100.58	12	0	0
2010.02.16	00:00:00	1098.88	1106.41	1097.97	1104.40	8566	0	0
2010.02.16	04:00:00	1104.41	1109.63	1104.20	1108.91	10374	0	0
2010.02.16	08:00:00	1108.91	1116.73	1108.19	1113.19	13489	0	0
2010.02.16	12:00:00	1113.19	1119.38	1110.69	1114.95	17083	0	0
2010.02.16	16:00:00	1115.00	1120.93	1114.78	1119.30	17957	0	0
