<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.02.02	04:00:00	126.369	126.517	125.843	126.440	11771	0	25
2010.02.02	08:00:00	126.436	126.680	125.952	126.557	15460	0	23
2010.02.02	12:00:00	126.560	126.613	125.917	126.069	13913	0	24
2010.02.02	16:00:00	125.949	126.275	125.817	126.227	11103	0	24
2010.02.02	20:00:00	126.228	126.339	126.105	126.223	8040	0	23
2010.02.03	00:00:00	126.226	126.514	125.964	126.108	10359	0	27
2010.02.03	04:00:00	126.106	126.462	126.078	126.345	7552	0	25
2010.02.03	08:00:00	126.344	126.702	126.004	126.585	12777	0	23
2010.02.03	12:00:00	126.587	126.966	126.449	126.776	13653	0	23
2010.02.03	16:00:00	126.784	126.912	126.454	126.745	12364	0	24
2010.02.03	20:00:00	126.744	126.781	126.335	126.354	7202	0	23
2010.02.04	00:00:00	126.356	126.362	126.052	126.178	9123	0	26
2010.02.04	04:00:00	126.177	126.325	126.133	126.252	7485	0	25
2010.02.04	08:00:00	126.251	126.373	125.436	125.561	13138	0	22
2010.02.04	12:00:00	125.558	125.776	124.926	124.972	13192	0	22
2010.02.04	16:00:00	124.976	125.095	121.677	122.474	15133	0	24
2010.02.04	20:00:00	122.478	122.683	121.995	122.343	9948	0	24
2010.02.05	00:00:00	122.346	123.179	122.346	122.944	12635	0	25
2010.02.05	04:00:00	122.943	123.114	122.671	122.989	9374	0	25
2010.02.05	08:00:00	122.990	123.106	121.982	122.410	16241	0	23
2010.02.05	12:00:00	122.408	123.283	121.962	122.217	16246	0	23
2010.02.05	16:00:00	122.212	122.430	120.692	120.961	16838	0	24
2010.02.05	20:00:00	120.963	122.164	120.960	122.062	8919	0	27
2010.02.08	00:00:00	121.762	122.161	121.549	121.710	11105	0	25
2010.02.08	04:00:00	121.713	121.948	121.594	121.626	10463	0	24
2010.02.08	08:00:00	121.624	122.772	121.624	122.486	13926	0	22
2010.02.08	12:00:00	122.484	122.484	121.663	121.948	13566	0	24
2010.02.08	16:00:00	121.962	122.496	121.852	122.122	12687	0	24
2010.02.08	20:00:00	122.127	122.249	121.646	121.893	7752	0	24
2010.02.09	00:00:00	121.890	122.376	121.769	122.206	9791	0	25
2010.02.09	04:00:00	122.204	122.908	122.088	122.897	10071	0	25
2010.02.09	08:00:00	122.901	123.277	122.715	122.902	12975	0	23
2010.02.09	12:00:00	122.903	123.631	122.630	122.927	14401	0	24
2010.02.09	16:00:00	122.925	124.164	122.352	123.560	17491	0	24
2010.02.09	20:00:00	123.553	123.973	123.385	123.877	9832	0	25
2010.02.10	00:00:00	123.868	124.259	123.472	123.580	10518	0	26
2010.02.10	04:00:00	123.581	123.631	122.994	123.570	10681	0	23
2010.02.10	08:00:00	123.571	123.849	123.199	123.612	13500	0	23
2010.02.10	12:00:00	123.613	123.816	122.683	122.970	14565	0	23
2010.02.10	16:00:00	122.973	123.809	122.710	123.474	15059	0	24
2010.02.10	20:00:00	123.472	123.666	123.425	123.549	6726	0	25
2010.02.11	00:00:00	123.548	124.114	123.537	123.925	7976	0	26
2010.02.11	04:00:00	123.922	124.037	123.770	123.953	7132	0	25
2010.02.11	08:00:00	123.948	124.147	123.485	123.488	11083	0	22
2010.02.11	12:00:00	123.487	123.489	122.318	122.502	15155	0	24
2010.02.11	16:00:00	122.497	122.852	122.049	122.657	14253	0	23
2010.02.11	20:00:00	122.665	122.906	122.622	122.811	6841	0	24
2010.02.12	00:00:00	122.811	122.944	122.423	122.552	9332	0	25
2010.02.12	04:00:00	122.553	122.839	122.408	122.783	7495	0	24
2010.02.12	08:00:00	122.777	123.079	121.374	121.923	16222	0	23
2010.02.12	12:00:00	121.925	122.866	121.661	122.529	15356	0	24
2010.02.12	16:00:00	122.524	122.880	122.225	122.410	13377	0	21
2010.02.12	20:00:00	122.412	122.706	122.371	122.612	5788	0	24
2010.02.15	00:00:00	122.568	122.873	122.492	122.680	7172	0	28
2010.02.15	04:00:00	122.681	122.796	122.396	122.514	6490	0	27
2010.02.15	08:00:00	122.512	122.746	122.381	122.590	9508	0	23
