<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.02.05	08:00:00	77.815	77.864	77.080	77.269	14924	0	30
2010.02.05	12:00:00	77.265	78.126	76.882	77.351	15307	0	30
2010.02.05	16:00:00	77.354	77.539	76.189	76.392	16555	0	30
2010.02.05	20:00:00	76.385	77.580	76.372	77.468	8967	0	50
2010.02.08	00:00:00	77.372	77.609	77.097	77.241	9104	0	54
2010.02.08	04:00:00	77.243	77.455	77.123	77.155	8331	0	30
2010.02.08	08:00:00	77.154	77.927	77.135	77.630	12208	0	30
2010.02.08	12:00:00	77.629	77.664	77.161	77.497	12726	0	30
2010.02.08	16:00:00	77.498	77.816	77.345	77.462	12426	0	30
2010.02.08	20:00:00	77.460	77.561	76.796	77.040	7269	0	50
2010.02.09	00:00:00	77.037	77.523	76.973	77.310	8612	0	50
2010.02.09	04:00:00	77.312	77.967	77.246	77.939	8842	0	30
2010.02.09	08:00:00	77.936	78.356	77.849	78.013	12328	0	30
2010.02.09	12:00:00	78.012	78.632	77.792	78.122	13580	0	30
2010.02.09	16:00:00	78.121	78.908	77.756	78.672	17308	0	30
2010.02.09	20:00:00	78.664	79.045	78.404	78.884	9232	0	50
2010.02.10	00:00:00	78.869	79.089	78.523	78.640	9553	0	50
2010.02.10	04:00:00	78.639	78.683	78.184	78.616	9569	0	30
2010.02.10	08:00:00	78.617	78.749	78.346	78.631	11962	0	30
2010.02.10	12:00:00	78.628	78.731	78.086	78.307	13560	0	30
2010.02.10	16:00:00	78.319	78.980	78.112	78.716	14497	0	30
2010.02.10	20:00:00	78.715	78.842	78.613	78.716	6390	0	50
2010.02.11	00:00:00	78.716	79.984	78.696	79.818	8376	0	50
2010.02.11	04:00:00	79.819	79.957	79.667	79.847	7054	0	30
2010.02.11	08:00:00	79.848	80.078	79.741	79.848	10499	0	30
2010.02.11	12:00:00	79.849	79.850	79.230	79.375	14121	0	30
2010.02.11	16:00:00	79.370	79.982	79.275	79.831	13491	0	30
2010.02.11	20:00:00	79.822	80.001	79.791	79.897	6746	0	50
2010.02.12	00:00:00	79.898	79.958	79.573	79.675	8086	0	50
2010.02.12	04:00:00	79.674	80.003	79.610	79.951	6287	0	30
2010.02.12	08:00:00	79.944	80.454	78.856	79.154	15173	0	30
2010.02.12	12:00:00	79.157	79.852	78.987	79.318	14530	0	30
2010.02.12	16:00:00	79.317	79.857	79.155	79.657	12788	0	30
2010.02.12	20:00:00	79.658	80.008	79.649	79.836	5255	0	50
2010.02.15	00:00:00	79.852	80.037	79.752	79.926	5799	0	50
2010.02.15	04:00:00	79.928	80.097	79.823	79.903	5489	0	30
2010.02.15	08:00:00	79.900	80.107	79.739	80.060	8262	0	30
2010.02.15	12:00:00	80.061	80.148	79.890	79.991	6276	0	30
2010.02.15	16:00:00	79.992	80.083	79.833	79.977	5387	0	30
2010.02.15	20:00:00	79.974	80.096	79.904	80.075	3697	0	50
2010.02.16	00:00:00	80.073	80.212	79.860	80.057	7208	0	50
2010.02.16	04:00:00	80.053	80.405	80.048	80.347	7855	0	31
2010.02.16	08:00:00	80.346	80.540	80.286	80.404	11157	0	30
2010.02.16	12:00:00	80.402	80.950	80.251	80.899	12533	0	30
2010.02.16	16:00:00	80.902	81.485	80.827	81.263	13309	0	30
2010.02.16	20:00:00	81.264	81.360	81.113	81.280	6238	0	50
2010.02.17	00:00:00	81.284	81.407	81.200	81.304	7239	0	50
2010.02.17	04:00:00	81.303	81.448	81.272	81.350	6299	0	30
2010.02.17	08:00:00	81.347	81.809	81.088	81.624	12705	0	30
2010.02.17	12:00:00	81.623	82.178	81.544	82.074	13397	0	30
2010.02.17	16:00:00	82.073	82.110	81.438	81.746	12871	0	30
2010.02.17	20:00:00	81.743	82.175	81.693	81.848	8728	0	50
2010.02.18	00:00:00	81.851	81.940	81.366	81.412	9435	0	50
2010.02.18	04:00:00	81.411	81.707	81.360	81.681	7347	0	30
2010.02.18	08:00:00	81.684	81.692	81.225	81.458	12474	0	30
2010.02.18	12:00:00	81.459	81.837	81.144	81.738	11000	0	30
2010.02.18	16:00:00	81.759	82.247	81.643	82.125	13786	0	30
2010.02.18	20:00:00	82.117	82.423	81.861	82.090	10964	0	50
2010.02.19	00:00:00	82.080	82.126	81.682	81.782	12677	0	50
2010.02.19	04:00:00	81.783	81.881	81.617	81.684	8854	0	30
2010.02.19	08:00:00	81.682	82.012	81.622	81.829	12371	0	30
2010.02.19	12:00:00	81.830	82.040	81.760	81.842	12282	0	30
2010.02.19	16:00:00	81.839	82.506	81.795	82.293	12429	0	30
2010.02.19	20:00:00	82.288	82.401	82.168	82.233	4740	0	50
2010.02.22	00:00:00	82.457	82.788	82.339	82.625	8148	0	50
2010.02.22	04:00:00	82.626	82.666	82.406	82.426	5846	0	30
2010.02.22	08:00:00	82.421	82.531	82.078	82.131	11251	0	30
2010.02.22	12:00:00	82.134	82.376	82.024	82.170	11052	0	30
2010.02.22	16:00:00	82.171	82.171	81.775	82.072	10423	0	30
2010.02.22	20:00:00	82.073	82.152	81.917	82.128	4476	0	50
2010.02.23	00:00:00	82.123	82.232	81.814	81.865	7566	0	50
2010.02.23	04:00:00	81.863	82.127	81.726	82.008	6614	0	30
2010.02.23	08:00:00	82.010	82.512	81.936	82.016	12672	0	30
2010.02.23	12:00:00	82.008	82.091	81.539	81.765	13707	0	30
2010.02.23	16:00:00	81.764	81.764	79.928	80.067	15788	0	30
2010.02.23	20:00:00	80.058	80.446	79.993	80.405	6746	0	50
2010.02.24	00:00:00	80.405	80.630	80.269	80.506	7616	0	50
2010.02.24	04:00:00	80.511	80.641	80.365	80.443	5842	0	30
2010.02.24	08:00:00	80.447	80.640	79.699	80.118	12978	0	30
2010.02.24	12:00:00	80.121	80.616	79.818	80.483	12687	0	30
2010.02.24	16:00:00	80.485	80.653	79.800	80.602	14273	0	30
2010.02.24	20:00:00	80.603	80.606	80.368	80.521	5632	0	50
2010.02.25	00:00:00	80.524	80.764	79.663	79.783	9938	0	50
2010.02.25	04:00:00	79.781	79.879	79.143	79.380	11192	0	30
2010.02.25	08:00:00	79.382	79.681	79.248	79.479	12716	0	30
2010.02.25	12:00:00	79.481	79.589	78.367	78.598	12949	0	30
