<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.03.22	20:00:00	90.129	90.196	90.052	90.140	2675	0	17
2010.03.23	00:00:00	90.144	90.371	90.136	90.320	4610	0	17
2010.03.23	04:00:00	90.317	90.358	90.235	90.280	3127	0	10
2010.03.23	08:00:00	90.278	90.456	90.127	90.342	5794	0	12
2010.03.23	12:00:00	90.343	90.466	90.227	90.254	5944	0	13
2010.03.23	16:00:00	90.256	90.429	90.187	90.415	5196	0	11
2010.03.23	20:00:00	90.416	90.450	90.349	90.392	2910	0	15
2010.03.24	00:00:00	90.394	90.561	90.346	90.519	3897	0	15
2010.03.24	04:00:00	90.516	90.653	90.467	90.544	4036	0	13
2010.03.24	08:00:00	90.543	91.281	90.536	91.206	7731	0	10
2010.03.24	12:00:00	91.205	91.950	91.160	91.898	8874	0	10
2010.03.24	16:00:00	91.897	92.226	91.723	92.087	7468	0	13
2010.03.24	20:00:00	92.083	92.388	92.046	92.113	4233	0	16
2010.03.25	00:00:00	92.109	92.166	91.757	91.832	4688	0	17
2010.03.25	04:00:00	91.828	92.148	91.767	91.917	4773	0	13
2010.03.25	08:00:00	91.918	91.999	91.781	91.967	6024	0	11
2010.03.25	12:00:00	91.969	92.613	91.959	92.435	7190	0	13
2010.03.25	16:00:00	92.432	92.949	92.414	92.758	7159	0	13
2010.03.25	20:00:00	92.750	92.854	92.647	92.708	3723	0	17
2010.03.26	00:00:00	92.695	92.695	92.387	92.467	4646	0	17
2010.03.26	04:00:00	92.466	92.681	92.446	92.484	3967	0	10
2010.03.26	08:00:00	92.483	92.670	92.301	92.405	7072	0	13
2010.03.26	12:00:00	92.404	92.888	92.404	92.511	8587	0	13
2010.03.26	16:00:00	92.512	92.631	92.388	92.517	5452	0	13
2010.03.26	20:00:00	92.516	92.576	92.463	92.505	1762	0	17
2010.03.29	00:00:00	92.436	92.700	92.350	92.686	4290	0	15
2010.03.29	04:00:00	92.678	92.780	92.558	92.649	4752	0	12
2010.03.29	08:00:00	92.648	92.686	92.451	92.558	6904	0	10
2010.03.29	12:00:00	92.557	92.618	92.420	92.581	6434	0	12
2010.03.29	16:00:00	92.585	92.698	92.499	92.577	5264	0	12
2010.03.29	20:00:00	92.578	92.580	92.417	92.544	2569	0	15
2010.03.30	00:00:00	92.534	92.537	92.161	92.317	4371	0	17
2010.03.30	04:00:00	92.316	92.415	92.116	92.400	4537	0	11
2010.03.30	08:00:00	92.402	92.713	92.399	92.498	8940	0	13
2010.03.30	12:00:00	92.493	92.957	92.461	92.891	6239	0	13
2010.03.30	16:00:00	92.889	93.008	92.758	92.808	6543	0	10
2010.03.30	20:00:00	92.809	92.882	92.750	92.777	2800	0	16
2010.03.31	00:00:00	92.756	93.328	92.746	93.237	6410	0	17
2010.03.31	04:00:00	93.235	93.590	93.184	93.248	6198	0	13
2010.03.31	08:00:00	93.249	93.428	93.125	93.361	7254	0	10
2010.03.31	12:00:00	93.360	93.466	92.844	92.888	9285	0	13
2010.03.31	16:00:00	92.890	93.626	92.889	93.382	9163	0	10
2010.03.31	20:00:00	93.381	93.526	93.348	93.443	3698	0	17
2010.04.01	00:00:00	93.433	93.636	93.278	93.316	5577	0	17
2010.04.01	04:00:00	93.315	93.516	93.307	93.516	4179	0	11
2010.04.01	08:00:00	93.517	93.725	93.318	93.461	7108	0	10
2010.04.01	12:00:00	93.459	93.886	93.437	93.755	6656	0	12
2010.04.01	16:00:00	93.752	94.035	93.731	93.847	7236	0	10
