<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.22	04:00:00	64.024	64.935	63.963	64.782	10926	0	80
2010.01.22	08:00:00	64.780	64.824	64.044	64.092	12704	0	80
2010.01.22	12:00:00	64.088	64.294	63.801	64.090	17759	0	80
2010.01.22	16:00:00	64.092	64.438	63.771	63.771	11080	0	80
2010.01.22	20:00:00	63.772	63.925	63.678	63.703	3839	0	80
2010.01.25	00:00:00	64.141	64.646	64.027	64.435	8073	0	80
2010.01.25	04:00:00	64.432	64.598	64.353	64.395	7758	0	80
2010.01.25	08:00:00	64.394	64.645	64.005	64.424	9992	0	80
2010.01.25	12:00:00	64.426	64.462	64.114	64.367	13173	0	80
2010.01.25	16:00:00	64.364	64.506	64.197	64.442	8569	0	80
2010.01.25	20:00:00	64.444	64.551	64.349	64.508	4728	0	80
2010.01.26	00:00:00	64.509	64.880	63.977	64.096	10025	0	80
2010.01.26	04:00:00	64.095	64.183	63.333	63.797	14769	0	80
2010.01.26	08:00:00	63.799	63.955	63.095	63.288	14303	0	80
2010.01.26	12:00:00	63.287	63.446	62.923	63.208	15497	0	80
2010.01.26	16:00:00	63.206	63.650	63.160	63.586	10056	0	80
2010.01.26	20:00:00	63.592	63.595	63.283	63.395	5291	0	80
2010.01.27	00:00:00	63.396	63.583	63.052	63.052	10748	0	80
2010.01.27	04:00:00	63.055	63.194	62.733	63.008	10313	0	80
2010.01.27	08:00:00	63.010	63.537	62.845	63.534	13028	0	80
2010.01.27	12:00:00	63.535	63.602	62.910	63.135	14229	0	80
2010.01.27	16:00:00	63.134	63.562	62.903	63.402	11987	0	80
2010.01.27	20:00:00	63.384	63.702	63.137	63.480	8093	0	80
2010.01.28	00:00:00	63.470	64.139	63.450	64.099	10304	0	80
2010.01.28	04:00:00	64.097	64.435	63.821	64.397	8345	0	80
2010.01.28	08:00:00	64.396	64.550	64.104	64.136	11608	0	80
2010.01.28	12:00:00	64.138	64.308	63.565	63.581	14186	0	80
2010.01.28	16:00:00	63.583	63.629	63.153	63.342	11540	0	80
2010.01.28	20:00:00	63.341	63.462	63.037	63.254	7488	0	80
2010.01.29	00:00:00	63.255	63.503	62.850	63.366	10068	0	80
2010.01.29	04:00:00	63.367	63.711	63.118	63.589	10545	0	80
