date,prob_down,prob_up,pred_class
2011-03-21,0.08617317,0.9138269,1
2011-03-22,0.23557301,0.764427,1
2011-03-23,0.2069305,0.7930694,1
2011-03-24,0.17120501,0.828795,1
2011-03-25,0.17509551,0.8249045,1
2011-03-28,0.13551188,0.8644881,1
2011-03-29,0.13566028,0.8643397,1
2011-03-30,0.13591658,0.8640834,1
2011-03-31,0.15175295,0.84824705,1
2011-04-01,0.14940467,0.8505953,1
2011-04-04,0.12639853,0.8736015,1
2011-04-05,0.112595,0.88740504,1
2011-04-06,0.6499367,0.35006332,0
2011-04-07,0.8475373,0.15246268,0
2011-04-08,0.9154668,0.08453319,0
2011-04-11,0.93311065,0.06688933,0
2011-04-12,0.9052861,0.09471391,0
2011-04-13,0.90065616,0.09934385,0
2011-04-14,0.9047723,0.09522774,0
2011-04-15,0.9019259,0.09807414,0
2011-04-18,0.89956784,0.10043209,0
2011-04-19,0.8996709,0.10032914,0
2011-04-20,0.90160215,0.098397866,0
2011-04-21,0.90284526,0.09715478,0
2011-04-25,0.8940677,0.105932295,0
2011-04-26,0.8756203,0.12437966,0
2011-04-27,0.85560954,0.14439048,0
2011-04-28,0.84487855,0.15512152,0
2011-04-29,0.82843846,0.17156157,0
2011-05-02,0.8139806,0.1860194,0
2011-05-03,0.80450207,0.19549794,0
2011-05-04,0.7943657,0.20563433,0
2011-05-05,0.18442969,0.8155703,1
2011-05-06,0.079729035,0.92027104,1
2011-05-09,0.062067404,0.93793255,1
2011-05-11,0.07373671,0.9262633,1
2011-05-12,0.26122564,0.7387743,1
2011-05-13,0.23606521,0.76393485,1
2011-05-16,0.23097493,0.7690251,1
2011-05-17,0.21402262,0.7859774,1
2011-05-18,0.20124558,0.7987544,1
2011-05-19,0.23224072,0.7677593,1
2011-05-20,0.7942593,0.20574068,0
2011-05-23,0.88982093,0.110179104,0
2011-05-24,0.91967624,0.080323756,0
2011-05-25,0.90583193,0.094168074,0
2011-05-26,0.81929415,0.1807058,0
2011-05-27,0.81253135,0.18746862,0
2011-05-30,0.8114932,0.18850684,0
2011-05-31,0.8192439,0.1807561,0
2011-06-01,0.8153235,0.1846765,0
2011-06-02,0.7870517,0.21294829,0
2011-06-03,0.7799669,0.22003305,0
2011-06-06,0.19053394,0.80946606,1
2011-06-07,0.096834555,0.90316546,1
2011-06-08,0.091255024,0.908745,1
2011-06-09,0.10933398,0.890666,1
2011-06-10,0.246835,0.753165,1
2011-06-13,0.8353059,0.1646941,0
2011-06-14,0.44242904,0.55757093,1
2011-06-15,0.86993027,0.13006972,0
2011-06-16,0.8924789,0.10752117,0
2011-06-17,0.8290767,0.1709233,0
2011-06-20,0.31840357,0.68159646,1
2011-06-21,0.07068538,0.9293146,1
2011-06-22,0.067343526,0.93265647,1
2011-06-23,0.08245326,0.91754675,1
2011-06-24,0.24553458,0.7544654,1
2011-06-27,0.22203417,0.77796584,1
2011-06-28,0.7764831,0.22351688,0
2011-06-29,0.35146493,0.6485351,1
2011-06-30,0.18232167,0.81767833,1
2011-07-01,0.10297898,0.89702106,1
2011-07-05,0.5826737,0.4173263,0
2011-07-06,0.897908,0.102092005,0
2011-07-07,0.9270971,0.07290295,0
2011-07-08,0.9026645,0.09733556,0
2011-07-11,0.76267314,0.23732693,0
2011-07-12,0.769265,0.23073496,0
2011-07-13,0.1766943,0.82330567,1
2011-07-14,0.088518746,0.91148126,1
2011-07-15,0.67313534,0.32686466,0
2011-07-18,0.8619823,0.13801776,0
2011-07-19,0.9485888,0.051411204,0
2011-07-20,0.89085245,0.10914757,0
2011-07-21,0.73235726,0.26764277,0
2011-07-22,0.7301397,0.26986033,0
2011-07-25,0.73053414,0.26946586,0
2011-07-26,0.7148889,0.28511113,0
2011-07-27,0.6981058,0.30189416,0
2011-07-28,0.69307363,0.30692634,0
2011-07-29,0.13977501,0.860225,1
2011-08-01,0.0661351,0.93386495,1
2011-08-02,0.060610358,0.9393897,1
2011-08-03,0.61208767,0.38791236,0
2011-08-04,0.90973675,0.090263255,0
2011-08-05,0.9230515,0.07694849,0
2011-08-08,0.84578943,0.15421057,0
2011-08-09,0.67903364,0.32096636,0
2011-08-10,0.70211303,0.2978869,0
2011-08-11,0.7189369,0.28106302,0
2011-08-12,0.72134274,0.27865723,0
2011-08-15,0.70532614,0.29467386,0
2011-08-16,0.14238726,0.8576128,1
2011-08-17,0.5966322,0.40336785,0
2011-08-18,0.13495778,0.86504215,1
2011-08-19,0.09080494,0.90919507,1
2011-08-22,0.14669248,0.8533075,1
2011-08-23,0.08293592,0.9170641,1
2011-08-24,0.33162388,0.6683761,1
2011-08-25,0.84567523,0.15432476,0
2011-08-26,0.9219251,0.07807487,0
2011-08-29,0.4550768,0.54492325,1
2011-08-30,0.7496103,0.25038967,0
2011-08-31,0.119775236,0.88022476,1
2011-09-01,0.086840436,0.91315955,1
2011-09-02,0.117310174,0.8826899,1
2011-09-05,0.06639131,0.93360865,1
2011-09-06,0.1992049,0.8007951,1
2011-09-07,0.76643574,0.23356423,0
2011-09-08,0.8761824,0.12381757,0
2011-09-09,0.8984561,0.10154389,0
2011-09-12,0.8329152,0.16708478,0
2011-09-13,0.64609736,0.35390267,0
2011-09-14,0.6817229,0.31827712,0
2011-09-15,0.7154906,0.28450945,0
2011-09-16,0.7520868,0.24791317,0
2011-09-19,0.7698212,0.23017873,0
2011-09-20,0.7501079,0.24989212,0
2011-09-21,0.18501236,0.8149877,1
2011-09-22,0.08731054,0.91268945,1
2011-09-23,0.06990002,0.93009996,1
2011-09-26,0.09648533,0.9035147,1
2011-09-27,0.2983387,0.7016613,1
2011-09-28,0.3158222,0.68417776,1
2011-09-29,0.37926108,0.6207389,1
2011-09-30,0.8466251,0.1533749,0
2011-10-03,0.92024994,0.0797501,0
2011-10-04,0.5031111,0.49688894,0
2011-10-05,0.7749016,0.22509834,0
2011-10-06,0.16963725,0.8303628,1
2011-10-07,0.09988911,0.9001109,1
2011-10-10,0.1401533,0.8598467,1
2011-10-11,0.07920525,0.9207948,1
2011-10-12,0.24929096,0.750709,1
2011-10-13,0.82513666,0.1748634,0
2011-10-14,0.9027335,0.09726652,0
2011-10-17,0.92331547,0.07668455,0
2011-10-18,0.88333505,0.11666499,0
2011-10-19,0.7346466,0.26535338,0
2011-10-20,0.76325303,0.236747,0
2011-10-21,0.779613,0.22038701,0
2011-10-24,0.7909118,0.20908825,0
2011-10-25,0.20717995,0.79282,1
2011-10-26,0.09784682,0.90215313,1
2011-10-27,0.08211189,0.9178881,1
2011-10-28,0.0879624,0.9120376,1
2011-10-31,0.24201468,0.7579853,1
2011-11-01,0.8270899,0.17291011,0
2011-11-02,0.91165084,0.088349186,0
2011-11-03,0.9275956,0.072404355,0
2011-11-04,0.88916004,0.11083997,0
2011-11-07,0.7596002,0.24039976,0
2011-11-08,0.7741619,0.22583818,0
2011-11-09,0.7773025,0.22269754,0
2011-11-10,0.79338133,0.20661865,0
2011-11-11,0.80326235,0.19673763,0
2011-11-14,0.79866904,0.20133089,0
2011-11-15,0.7962702,0.20372975,0
2011-11-16,0.78535074,0.21464925,0
2011-11-17,0.20058233,0.7994177,1
2011-11-18,0.08787086,0.9121291,1
2011-11-21,0.070723794,0.9292762,1
2011-11-22,0.102864824,0.8971352,1
2011-11-23,0.27694827,0.7230517,1
2011-11-24,0.29517552,0.70482445,1
2011-11-25,0.28347805,0.716522,1
2011-11-28,0.263821,0.736179,1
2011-11-29,0.80311245,0.1968876,0
2011-11-30,0.8877325,0.11226751,0
2011-12-01,0.4557363,0.5442637,1
2011-12-02,0.7872745,0.21272552,0
2011-12-05,0.75469834,0.24530165,0
2011-12-06,0.22062103,0.7793789,1
2011-12-07,0.1461234,0.85387665,1
2011-12-08,0.07561335,0.9243866,1
2011-12-09,0.08688701,0.91311294,1
2011-12-12,0.21693705,0.78306293,1
2011-12-13,0.22712448,0.77287555,1
2011-12-14,0.7607396,0.23926042,0
2011-12-15,0.8814918,0.11850822,0
2011-12-16,0.45862505,0.5413749,1
2011-12-19,0.18677208,0.81322795,1
2011-12-20,0.6300659,0.3699341,0
2011-12-21,0.20767845,0.79232156,1
2011-12-22,0.8058352,0.1941648,0
2011-12-23,0.84855676,0.15144326,0
2011-12-27,0.79952115,0.20047888,0
2011-12-28,0.86813015,0.13186982,0
2011-12-29,0.7396211,0.26037893,0
2011-12-30,0.7446884,0.2553116,0
2012-01-03,0.19285445,0.80714554,1
2012-01-04,0.104701534,0.8952984,1
2012-01-05,0.09945171,0.9005483,1
